community,Marketing/Social,AI Art Discourse,AI Tools/Code,Bard/LLMs,Visual AI Art,Bot/Spam,Tech/Programming,News/Updates,NFT/Crypto,Web3/DeFi,General AI,Trading/Invest
"General ChatGPT Discussion (n=44,718)",-0.4005743451792022,-0.294592188247149,0.6488358756553093,-1.3106921080261795,-1.14867639236861,-0.6406634531699126,-0.1071224730915971,-0.2658145008035464,-2.2892867204948995,-3.89995058792321,0.6112324592774797,-0.5294227056318217
"Anti-AI-Art Discourse (n=41,574)",-1.2361544028125069,0.7675767119032795,-1.9699201770813888,-0.212850398850317,-0.9181036861709524,-1.1130056844089309,-2.906087357419921,-1.4731272303776215,-3.533252007445093,-4.87974611299637,-2.343078472408355,-1.7850233167763914
"General ChatGPT Debate (n=17,422)",-0.4364541731097737,0.25246578873558,-0.628473980772524,-0.9932049046539152,-1.5607367098219085,0.4464363938242614,-1.2892595481802185,-0.53113107396511,-1.7899567145920918,-3.74024594136344,0.2044506638563729,0.6662067272244974
"AI-Art & NFT Posting (n=12,679)",-0.0733888306442774,0.0177583734424601,-0.1077124754883788,1.7121752725837287,2.569727292788526,-0.6237720056560356,-1.7180836980265737,0.42061332962915,-0.3365732631817024,-1.8835577901080167,-0.9211295400243968,-0.6215197924529522
"ChatGPT SEO/Content (n=10,348)",1.61133954622002,-0.7599585402040087,1.3633768422717805,-0.6965430812197408,-0.4451194643784109,0.407721668999668,0.673421431904775,0.5442145252019679,-1.1498763024205465,-1.918882903285392,0.117754915225075,0.2009911427194228
"AI Tokens, Launchpads & AI (n=7,502)",0.5078155131226216,-1.618184853606456,0.0872102282927652,-0.0171239789663736,-0.915281591274958,1.214675915528909,-0.0017164974178604,1.1910460860428274,3.172930117193487,2.052020742966285,-0.0014570746906506,0.7622323507313978
"AI/Crypto Launchpads (n=7,497)",0.5541850438540044,-3.4472485820791454,-0.3259159838518277,0.5539599761773784,-1.3664665311089643,0.7811716119502727,-2.276743802172439,0.2578326506562459,2.1446633474346983,3.817741529299448,-0.9544058503557252,0.2635350707443405
"AI-Blockchain Promotion (n=7,256)",-0.0231605385351303,-0.9154230653748232,-0.2319631264074632,-0.1169285541661237,-0.4753257371176809,0.3391086733466045,-0.9320695788114576,0.480838300533108,2.4328779024420903,1.8836919988861052,0.1462963974790371,2.5067414999351105
"Data Science/ML Headlines (n=7,132)",1.4904474626624709,-1.4962034367774966,0.1416238523395165,-0.3180790212365129,0.0142420947682839,1.2416381133176275,3.4741293421793524,1.338113683456334,-1.2073727029279584,-2.2939909086803323,1.1915976587224173,-0.0838675646137035
"AI-Art Authenticity Disputes (n=5,490)",-0.8968835467060124,0.6702846655202017,-1.2912035522795688,-0.260173172528537,-0.1990864819666601,-0.6290021452043351,-2.282140698371055,-1.2415833284532112,-3.2643885735767726,-4.671806745184916,-1.5793820335279978,-1.4143946484517809
"ChatGPT & AI/Tech News (n=4,542)",0.5418874411619272,-0.5473389531035968,0.1670000140642293,-0.2859182734780697,-0.8115192096738604,0.6070260180755277,0.2331984783846014,0.4666273303291372,-1.805477484792929,-3.174713960175376,0.9541240373556302,0.7984809004069818
"Mixed AI Art/ChatGPT (n=4,098)",-0.466706558272934,0.1849273323467513,-0.4030814518598505,0.3958517781188928,-0.8320174514315709,0.3134558205566178,-1.3296129293433447,-0.0647399096600392,-3.168516896782521,-4.2237322673823,0.1656194931291998,-0.5793398951280666
"NFTs, AI Tokens & AI (n=3,607)",-0.1118387618494136,-0.4743757598753212,-0.0608827372017119,2.239508009185581,0.6672406166105089,-0.3808498605994178,-1.849704227089135,0.842918774455676,1.2177521998764065,1.3472455024422545,-0.7002371598841326,0.7859981699891913
"ChatGPT in Education (n=3,281)",-0.6164726533096596,-1.0600549430137864,0.7088802497604189,-0.4814978972464053,-1.9487279563938829,-0.3886515202074264,0.0360977467575808,1.2027389981631893,-4.333479824260611,-2.690554081055017,1.1750114551442488,-1.9621202726697364
"India-Linked ChatGPT/AI News (n=2,834)",0.3986277198326791,-0.4189819483685378,0.3369345488598669,-0.3088049814873321,-1.0249056944859571,1.477000319590335,0.0050144227243843,0.0819382239655168,-2.2750532662289307,-3.6343604012373945,0.7785337586209196,0.2113825591507822
"ChatGPT + Regional-Language Markers (n=2,699)",0.634671119313638,0.0518210084411144,0.1943736816963632,-0.0071593009409954,-0.9417608173760292,-0.1403885177552508,-0.1382853101841983,-0.373051627470754,-1.838265297551143,-2.3650227913822435,0.0933977411970366,-0.2909689543825349
"AI-Art Criticism & Pop Culture (n=2,005)",-0.0155169984621409,0.6037916997742288,-1.1300072013898128,0.80147376796951,-0.9067139266130032,-0.5071904701530346,-1.7490783131775305,-1.0723853571545092,-2.83403458983953,-4.036841731745979,-1.683552082460919,-1.2041929003306948
"Anime AI Art/Stable Diffusion (n=1,245)",-0.7634940712170392,0.368566458435856,-1.518454875185722,0.8459375812290251,3.655169668867117,1.5774437080723416,-2.818989065907247,-0.1362026602559992,-2.738647620326557,-3.860710780469241,-2.729398330696976,-1.80809218121362
"Mixed ChatGPT Usage (n=1,166)",0.008468733595954,0.053863604542393,0.4187051082328615,-0.3140546528059484,-0.7843107362419417,-0.3081910225017942,-0.290010640749971,-0.232785579039679,-1.693480538108897,-3.129521995389596,0.0006309701976647,-0.0706559287784387
"Medical Imaging AI (n=1,060)",-0.7394157101979802,-1.6803391506817889,-0.3996051085355864,-0.9098128225733848,-2.4847631506206684,-0.7130316266777984,1.029747808432542,0.5862505663291896,-3.809735625963657,-3.9046118192407295,1.7320388685156207,-1.389481221642234
Mixed AI/Creative Content (n=610),1.1872498075066689,-0.1819505255874175,0.2764368709593363,1.756688251366921,1.5900025772422426,0.6195401638595313,-0.3858914897843856,1.6679584004032255,-2.889056670916438,-4.030786247769884,-0.3530486462311208,-1.2665924175816867
